"","gene_id","gene_type"
"289","ENSMUSG00000025964","protein_coding"
"290","ENSMUSG00000115378","protein_coding"
"291","ENSMUSG00000069085","protein_coding"
"292","ENSMUSG00000025963","protein_coding"
"293","ENSMUSG00000025962","protein_coding"
"294","ENSMUSG00000025959","protein_coding"
"295","ENSMUSG00000025958","protein_coding"
"296","ENSMUSG00000025956","protein_coding"
"297","ENSMUSG00000070871","protein_coding"
"298","ENSMUSG00000045005","protein_coding"
"299","ENSMUSG00000051344","protein_coding"
"300","ENSMUSG00000025955","protein_coding"
"301","ENSMUSG00000070870","protein_coding"
"302","ENSMUSG00000067299","protein_coding"
"303","ENSMUSG00000025952","protein_coding"
"304","ENSMUSG00000073658","protein_coding"
"305","ENSMUSG00000044429","protein_coding"
"306","ENSMUSG00000100846","protein_coding"
"307","ENSMUSG00000044816","protein_coding"
"308","ENSMUSG00000025950","protein_coding"
"309","ENSMUSG00000025949","protein_coding"
"310","ENSMUSG00000025946","protein_coding"
"311","ENSMUSG00000025945","protein_coding"
"312","ENSMUSG00000015222","protein_coding"
"313","ENSMUSG00000055567","protein_coding"
"314","ENSMUSG00000026005","protein_coding"
"315","ENSMUSG00000026004","protein_coding"
"316","ENSMUSG00000026003","protein_coding"
"317","ENSMUSG00000061816","protein_coding"
"318","ENSMUSG00000026000","protein_coding"
"319","ENSMUSG00000025991","protein_coding"
"320","ENSMUSG00000062209","protein_coding"
"321","ENSMUSG00000025997","protein_coding"
"322","ENSMUSG00000053153","protein_coding"
"323","ENSMUSG00000045648","protein_coding"
"324","ENSMUSG00000026196","protein_coding"
"325","ENSMUSG00000050296","protein_coding"
"326","ENSMUSG00000026192","protein_coding"
"327","ENSMUSG00000026193","protein_coding"
"328","ENSMUSG00000039395","protein_coding"
"329","ENSMUSG00000026189","protein_coding"
"330","ENSMUSG00000026188","protein_coding"
"331","ENSMUSG00000026187","protein_coding"
"332","ENSMUSG00000039372","protein_coding"
"333","ENSMUSG00000039354","protein_coding"
"334","ENSMUSG00000039342","protein_coding"
"335","ENSMUSG00000046330","protein_coding"
"336","ENSMUSG00000039323","protein_coding"
"337","ENSMUSG00000026185","protein_coding"
"338","ENSMUSG00000026182","protein_coding"
"339","ENSMUSG00000055322","protein_coding"
"340","ENSMUSG00000061815","protein_coding"
"341","ENSMUSG00000026180","protein_coding"
"342","ENSMUSG00000048480","protein_coding"
"343","ENSMUSG00000006304","protein_coding"
"344","ENSMUSG00000064272","protein_coding"
"345","ENSMUSG00000006299","protein_coding"
"346","ENSMUSG00000026179","protein_coding"
"347","ENSMUSG00000006301","protein_coding"
"348","ENSMUSG00000073650","protein_coding"
"349","ENSMUSG00000026177","protein_coding"
"350","ENSMUSG00000026176","protein_coding"
"351","ENSMUSG00000026175","protein_coding"
"352","ENSMUSG00000033364","protein_coding"
"353","ENSMUSG00000026174","protein_coding"
"354","ENSMUSG00000026173","protein_coding"
"355","ENSMUSG00000026135","protein_coding"
"356","ENSMUSG00000026172","protein_coding"
"357","ENSMUSG00000026171","protein_coding"
"358","ENSMUSG00000033276","protein_coding"
"359","ENSMUSG00000033257","protein_coding"
"360","ENSMUSG00000026170","protein_coding"
"361","ENSMUSG00000006542","protein_coding"
"362","ENSMUSG00000033227","protein_coding"
"363","ENSMUSG00000026167","protein_coding"
"364","ENSMUSG00000090071","protein_coding"
"365","ENSMUSG00000055197","protein_coding"
"366","ENSMUSG00000006546","protein_coding"
"367","ENSMUSG00000047021","protein_coding"
"368","ENSMUSG00000006538","protein_coding"
"369","ENSMUSG00000026162","protein_coding"
"370","ENSMUSG00000026205","protein_coding"
"371","ENSMUSG00000033159","protein_coding"
"372","ENSMUSG00000049339","protein_coding"
"373","ENSMUSG00000026197","protein_coding"
"374","ENSMUSG00000026198","protein_coding"
"375","ENSMUSG00000033124","protein_coding"
"376","ENSMUSG00000026199","protein_coding"
"377","ENSMUSG00000026200","protein_coding"
"378","ENSMUSG00000026201","protein_coding"
"379","ENSMUSG00000026202","protein_coding"
"380","ENSMUSG00000096094","protein_coding"
"381","ENSMUSG00000026203","protein_coding"
"382","ENSMUSG00000026204","protein_coding"
"383","ENSMUSG00000033061","protein_coding"
"384","ENSMUSG00000026209","protein_coding"
"385","ENSMUSG00000026208","protein_coding"
"386","ENSMUSG00000026207","protein_coding"
"387","ENSMUSG00000033021","protein_coding"
"388","ENSMUSG00000033007","protein_coding"
"389","ENSMUSG00000032997","protein_coding"
"390","ENSMUSG00000026211","protein_coding"
"391","ENSMUSG00000051703","protein_coding"
"392","ENSMUSG00000032968","protein_coding"
"393","ENSMUSG00000026213","protein_coding"
"394","ENSMUSG00000006576","protein_coding"
"395","ENSMUSG00000026235","protein_coding"
"396","ENSMUSG00000004872","protein_coding"
"397","ENSMUSG00000032908","protein_coding"
"398","ENSMUSG00000026245","protein_coding"
"399","ENSMUSG00000090486","protein_coding"
"400","ENSMUSG00000012187","protein_coding"
